database_id	dive	iso_datetime	depth	latitude	longitude	temperature	oxygen	x	y	width	height	score
2442345	Ventana 4318	2020-12-08T19:40:30+00:00	776.2105	36.703725	-122.060493	4.693	0.286	0.27965683937072755	0.23604812622070312	0.027008056640625	0.060637876722547744	0.7407135367393494
2442346	Ventana 4318	2020-12-08T19:40:48+00:00	776.2303	36.703705	-122.060521	4.693	0.291	0.35528087615966797	0.8073411729600695	0.030250978469848634	0.05291917588975695	0.6222368478775024
2442348	Ventana 4318	2020-12-08T21:26:48+00:00	739.4597	36.703646	-122.06582	4.794	0.262	0.4071957111358643	0.4457098219129774	0.016879749298095704	0.04811367458767361	0.6907251477241516
2442349	Ventana 4318	2020-12-08T21:26:50+00:00	739.4103	36.703647	-122.065818	4.792	0.262	0.624945878982544	0.25469606187608507	0.02513093948364258	0.07358360290527344	0.8500285148620605
2442350	Ventana 4318	2020-12-08T21:26:52+00:00	739.3311	36.703647	-122.065819	4.793	0.262	0.7057650566101075	0.35235939025878904	0.026660442352294922	0.06611718071831597	0.8228701949119568
2442351	Ventana 4318	2020-12-08T21:26:54+00:00	739.30145	36.703648	-122.065819	4.792	0.266	0.6958346843719483	0.4957991282145182	0.02279834747314453	0.06447236802842882	0.7994685173034668
2442354	Ventana 4318	2020-12-08T21:26:56+00:00	739.30145	36.703647	-122.065822	4.792	0.262	0.5758693218231201	0.4126778072781033	0.02074270248413086	0.05898895263671875	0.7821533679962158
2442357	Ventana 4318	2020-12-08T21:26:58+00:00	739.2817	36.703646	-122.065826	4.792	0.266	0.38798401355743406	0.3859003702799479	0.031718325614929196	0.08723407321506077	0.8931984901428223
2442358	Ventana 4318	2020-12-08T21:27:00+00:00	739.2619	36.703645	-122.065831	4.791	0.266	0.31370959281921384	0.2968672434488932	0.027742385864257812	0.08007710774739583	0.8746487498283386
2442360	Ventana 4318	2020-12-08T21:27:02+00:00	739.1926	36.703639	-122.06584	4.791	0.266	0.28391528129577637	0.32221580081515844	0.025750064849853517	0.07643875545925564	0.806209921836853
2442362	Ventana 4318	2020-12-08T21:27:04+00:00	739.16296	36.703634	-122.065849	4.791	0.266	0.4219347476959229	0.598335944281684	0.02610635757446289	0.07361111111111111	0.8109626770019531
2442365	Ventana 4318	2020-12-08T21:27:06+00:00	739.16296	36.703624	-122.065869	4.792	0.262	0.4161525249481201	0.5903479682074653	0.02162761688232422	0.06773444281684028	0.8302718997001648
2442368	Ventana 4318	2020-12-08T21:27:08+00:00	739.074	36.703611	-122.065899	4.791	0.266	0.163318932056427	0.6619867112901475	0.019456362724304198	0.06384684244791666	0.8100032806396484
2442371	Ventana 4318	2020-12-08T21:27:10+00:00	739.0344	36.703597	-122.065929	4.792	0.262	0.32042722702026366	0.6885969373914931	0.0206024169921875	0.06165957980685764	0.7565268874168396
2442373	Ventana 4318	2020-12-08T21:27:12+00:00	739.00476	36.703587	-122.06595	4.791	0.266	0.268183159828186	0.6185370551215278	0.02032470703125	0.05956598917643229	0.7833847403526306
2442376	Ventana 4318	2020-12-08T21:30:50+00:00	736.0078	36.703716	-122.06579	4.795	0.262	0.3131819725036621	0.05547655953301324	0.02002582550048828	0.04509362114800347	0.6081975698471069
2443578	Ventana 4318	2020-12-08T19:02:11+00:00	572.4661	36.702603	-122.057083	5.744	0.345	0.6710711002349854	0.8607518513997395	0.017587757110595702	0.04891442192925347	0.6122583150863647
2444179	Ventana 4318	2020-12-08T19:02:25+00:00	572.57495	36.702704	-122.05701	5.744	0.349	0.7954414844512939	0.7391146341959636	0.04027791023254394	0.0487001207139757	0.8223327994346619
